CID,Gender,Limit,AverageTransactionValue,MDP,Unpaid Daily Principle ,Unpaid Interest ,TotalDuetoReset,DayDelay,Card Status,Risk Class
14001729,Woman,700,21.3,105,677.46,16.4,693.86,0,Active,LowRisk
14001695,Man,500,119.94,75,800.07,13.1,513.07,0,Active,LowRisk
14001680,Woman,400,94.26,60,308.16,11.47,350.45,0,Active,LowRisk
14001224,Woman,400,46.44,60,428.44,12.69,405.52,0,Active,LowRisk
14001635,Woman,800,42.75,120,799.09,22.89,821.98,0,Active,LowRisk
14001524,Woman,300,39,45,186.21,1.98,188.19,0,Active,LowRisk
14001642,Man,400,13.29,60,381.62,14.15,433.48,0,Active,LowRisk
14001708,Woman,500,36.63,75,490.58,17.31,543.48,0,Active,LowRisk
14001546,Man,600,173.23,90,599.19,21.54,620.73,0,Active,LowRisk
14001687,Woman,900,73.83,135,596.28,22.3,678.21,0,Active,LowRisk
14001647,Woman,500,105.93,75,181.26,6.24,197.79,0,Active,LowRisk
14001593,Man,500,41.26,75,438.24,7.19,445.43,0,Active,LowRisk
14001569,Man,700,81.86,105,256.39,3.1,259.49,0,Active,LowRisk
14001574,Woman,400,65.78,60,399.25,123.86,580.83,0,Active,LowRisk
14001614,Man,300,37.28,45,94.48,1.76,96.24,0,Active,LowRisk
14001472,Woman,600,32.1,78.06,77.89,0.17,78.06,0,Active,LowRisk
14001466,Woman,300,16.4,45,292.77,10.82,330.95,0,Active,LowRisk
14001645,Man,800,51.8,120,697.68,14.68,712.36,0,Active,LowRisk
14001497,Man,800,34.73,120,798.99,21.57,834.32,0,Active,LowRisk
14001551,Man,500,21.14,75,494.38,13.06,519.66,0,Active,LowRisk
14001571,Woman,800,24,120,795.3,29.3,902.23,0,Active,LowRisk
14001605,Man,300,42.36,45,287.94,6.57,294.51,0,Active,LowRisk
14001543,Woman,500,21.82,75,337.63,12.69,384.08,0,Stolen,LowRisk
14001590,Man,1100,45.72,165,1090.24,40.09,1236.1,0,Active,LowRisk
14001588,Man,300,148.37,45,233.04,5.88,238.92,0,Active,LowRisk
14001557,Woman,400,25.13,60,375.92,13.96,427.47,0,Active,LowRisk
14001587,Woman,300,42.37,45,296.87,74.41,371.28,0,Active,LowRisk
14001583,Woman,300,37.57,45,229.47,8.66,261.08,0,Active,LowRisk
14001462,Man,300,25.22,45,288.98,10.83,328.71,0,Active,LowRisk
14001487,Man,400,66.5,60,392.23,0.47,392.7,0,Active,LowRisk
14001424,Woman,600,10.74,90,573.09,21.38,651.77,0,Active,LowRisk
14001486,Man,500,30.72,75,481.15,17.7,542.57,0,Active,LowRisk
14001308,Woman,600,21.48,90,578.4,16.84,619.5,0,Active,LowRisk
14001464,Man,600,33.15,90,590.29,12.92,624.46,0,Active,LowRisk
14001519,Woman,500,34.04,75,463.58,17.34,527.28,0,Active,LowRisk
14001376,Woman,400,21.84,60,390.56,14.56,444.18,0,Active,LowRisk
14001452,Woman,600,61.47,90,580.16,14.42,594.59,0,Active,LowRisk
14001414,Woman,400,48.25,60,397.68,14.36,446.37,0,Active,LowRisk
14001397,Man,600,102.29,90,599.46,22.26,679.97,0,Active,LowRisk
